state,year,total_revenue,prop_tax,gen_sales_tax,select_sales_tax,income_tax,net_corp_income_tax,gift_death_tax,unemployment_tax
Massachusetts,2014,"$12,900 ","$2,160 ",$809 ,$406 ,"$1,942 ",$322 ,$59 ,$224 
Michigan,2014,"$10,011 ","$1,324 ",$874 ,$417 ,$836 ,$88 ,$0 ,$145 
Minnesota,2014,"$12,330 ","$1,402 ","$1,014 ",$823 ,"$1,758 ",$242 ,$33 ,$145 
Mississippi,2014,"$10,420 ",$916 ,"$1,106 ",$505 ,$558 ,$176 ,$0 ,$35 
Missouri,2014,"$9,605 ",$954 ,$918 ,$372 ,$945 ,$71 ,$0 ,$96 
Montana,2014,"$10,496 ","$1,465 ",$0 ,$544 ,"$1,037 ",$146 ,$0 ,$74 
Nebraska,2014,"$12,643 ","$1,749 ","$1,116 ",$344 ,"$1,124 ",$162 ,$27 ,$54 
Nevada,2014,"$9,561 ",$962 ,"$1,575 ",$936 ,$0 ,$0 ,$0 ,$118 
New Hampshire,2014,"$9,511 ","$2,837 ",$0 ,$658 ,$69 ,$405 ,$0 ,$54 
New Jersey,2014,"$12,262 ","$3,010 ",$984 ,$447 ,"$1,325 ",$262 ,$76 ,$210 
New Mexico,2014,"$11,909 ",$728 ,"$1,454 ",$379 ,$619 ,$98 ,$0 ,$42 
New York,2014,"$18,170 ","$2,548 ","$1,373 ",$659 ,"$2,746 ",$577 ,$62 ,$119 
North Carolina,2014,"$9,738 ",$957 ,$829 ,$459 ,"$1,052 ",$138 ,$2 ,$86 
North Dakota,2014,"$16,598 ","$1,096 ","$2,046 ",$741 ,$670 ,$336 ,$0 ,$69 
Ohio,2014,"$11,405 ","$1,199 ","$1,053 ",$482 ,"$1,123 ",$20 ,$17 ,$94 
Oklahoma,2014,"$9,789 ",$624 ,"$1,190 ",$385 ,$765 ,$103 ,$0 ,$36 
Oregon,2014,"$12,848 ","$1,355 ",$0 ,$476 ,"$1,677 ",$140 ,$22 ,$142 
Pennsylvania,2014,"$10,432 ","$1,390 ",$783 ,$658 ,"$1,212 ",$214 ,$66 ,$162 
Rhode Island,2014,"$11,808 ","$2,269 ",$845 ,$604 ,"$1,034 ",$128 ,$38 ,$173 
South Carolina,2014,"$9,945 ","$1,087 ",$793 ,$328 ,$721 ,$76 ,$0 ,$56 
South Dakota,2014,"$10,402 ","$1,309 ","$1,480 ",$487 ,$0 ,$29 ,$0 ,$31 
Tennessee,2014,"$9,145 ",$837 ,"$1,254 ",$470 ,$36 ,$179 ,$16 ,$67 
Texas,2014,"$9,407 ","$1,639 ","$1,458 ",$569 ,$0 ,$0 ,$0 ,$39 
Utah,2014,"$9,572 ",$970 ,$851 ,$405 ,$979 ,$104 ,$0 ,$43 
Vermont,2014,"$12,211 ","$2,377 ",$576 ,"$1,056 ","$1,065 ",$167 ,$56 ,$109 
Virginia,2014,"$9,727 ","$1,456 ",$583 ,$466 ,"$1,305 ",$89 ,$0 ,$39 
Washington,2014,"$12,212 ","$1,367 ","$2,090 ",$682 ,$0 ,$0 ,$22 ,$145 
West Virginia,2014,"$10,182 ",$852 ,$667 ,$768 ,$955 ,$110 ,$0 ,$77 
Wisconsin,2014,"$11,204 ","$1,651 ",$862 ,$488 ,"$1,176 ",$170 ,$0 ,$113 
Wyoming,2014,"$19,547 ","$2,250 ","$1,649 ",$343 ,$0 ,$0 ,$0 ,$93 
Alabama,2015,"$8,886 ",$526 ,$922 ,$573 ,$703 ,$109 ,$0 ,$67 
Alaska,2015,"$16,143 ","$1,997 ",$319 ,$496 ,$0 ,$308 ,$0 ,$275 
Arizona,2015,"$8,463 ","$1,043 ","$1,328 ",$307 ,$560 ,$103 ,$0 ,$69 
Arkansas,2015,"$9,038 ",$690 ,"$1,435 ",$484 ,$897 ,$160 ,$0 ,$121 
California,2015,"$12,926 ","$1,462 ","$1,297 ",$501 ,"$2,000 ",$231 ,$0 ,$161 
Colorado,2015,"$10,169 ","$1,354 ","$1,190 ",$427 ,"$1,169 ",$123 ,$0 ,$131 
Connecticut,2015,"$12,001 ","$2,829 ","$1,130 ",$684 ,"$2,265 ",$180 ,$44 ,$226 
DC,2015,"$22,624 ","$3,383 ","$1,977 ",$655 ,"$2,807 ",$673 ,$73 ,$243 
Delaware,2015,"$10,912 ",$856 ,$0 ,$545 ,"$1,268 ",$430 ,$6 ,$148 
Florida,2015,"$8,314 ","$1,216 ","$1,184 ",$604 ,$0 ,$111 ,$0 ,$76 
Georgia,2015,"$7,705 ","$1,124 ",$902 ,$341 ,$950 ,$98 ,$0 ,$82 
Hawaii,2015,"$11,861 ","$1,059 ","$2,224 ",$914 ,"$1,374 ",$50 ,$8 ,$165 
Idaho,2015,"$7,951 ",$936 ,$882 ,$314 ,$889 ,$131 ,$0 ,$98 
Illinois,2015,"$10,504 ","$2,044 ","$1,006 ",$769 ,"$1,227 ",$313 ,$27 ,$194 
Indiana,2015,"$8,820 ",$924 ,"$1,098 ",$537 ,$989 ,$136 ,$1 ,$106 
Iowa,2015,"$11,733 ","$1,546 ","$1,071 ",$474 ,"$1,140 ",$148 ,$29 ,$137 
Kansas,2015,"$9,623 ","$1,434 ","$1,396 ",$408 ,$775 ,$157 ,$0 ,$142 
Kentucky,2015,"$8,991 ",$757 ,$735 ,$644 ,"$1,208 ",$205 ,$11 ,$122 
Louisiana,2015,"$9,419 ",$866 ,"$1,521 ",$578 ,$639 ,$54 ,$0 ,$50 
Maine,2015,"$9,368 ","$2,004 ",$959 ,$543 ,"$1,148 ",$127 ,$23 ,$116 
Maryland,2015,"$10,681 ","$1,544 ",$729 ,$810 ,"$2,185 ",$166 ,$40 ,$112 
Massachusetts,2015,"$12,270 ","$2,235 ",$845 ,$414 ,"$2,111 ",$324 ,$50 ,$230 
Michigan,2015,"$9,524 ","$1,361 ",$922 ,$420 ,$932 ,$119 ,$0 ,$148 
Minnesota,2015,"$11,988 ","$1,519 ","$1,026 ",$848 ,"$1,882 ",$268 ,$26 ,$173 
Mississippi,2015,"$9,862 ",$956 ,"$1,147 ",$524 ,$597 ,$179 ,$0 ,$57 
Missouri,2015,"$8,874 ",$968 ,$963 ,$385 ,"$1,026 ",$83 ,$0 ,$103 
Montana,2015,"$9,634 ","$1,505 ",$0 ,$591 ,"$1,141 ",$162 ,$0 ,$141 
Nebraska,2015,"$12,184 ","$1,845 ","$1,134 ",$322 ,"$1,176 ",$181 ,$28 ,$58 
Nevada,2015,"$8,854 ",$971 ,"$1,648 ",$957 ,$0 ,$0 ,$0 ,$185 
New Hampshire,2015,"$9,263 ","$3,047 ",$0 ,$724 ,$71 ,$429 ,$0 ,$74 
New Jersey,2015,"$11,730 ","$3,030 ","$1,008 ",$440 ,"$1,460 ",$284 ,$87 ,$307 
New Mexico,2015,"$11,535 ",$766 ,"$1,546 ",$401 ,$659 ,$119 ,$0 ,$129 
New York,2015,"$16,817 ","$2,631 ","$1,428 ",$655 ,"$2,774 ",$604 ,$55 ,$180 
North Carolina,2015,"$9,173 ",$960 ,$949 ,$433 ,"$1,124 ",$133 ,$0 ,$138 
North Dakota,2015,"$16,173 ","$1,191 ","$2,143 ",$751 ,$703 ,$244 ,$0 ,$159 
Ohio,2015,"$10,403 ","$1,224 ","$1,213 ",$474 ,"$1,184 ",$20 ,$6 ,$100 
Oklahoma,2015,"$8,998 ",$668 ,"$1,223 ",$388 ,$933 ,$100 ,$0 ,$79 
Oregon,2015,"$12,245 ","$1,403 ",$0 ,$494 ,"$1,819 ",$173 ,$28 ,$253 
Pennsylvania,2015,"$10,220 ","$1,428 ",$825 ,$706 ,"$1,267 ",$231 ,$75 ,$239 
Rhode Island,2015,"$11,470 ","$2,293 ",$891 ,$639 ,"$1,128 ",$164 ,$39 ,$248 
South Carolina,2015,"$9,643 ","$1,129 ",$835 ,$329 ,$762 ,$78 ,$0 ,$96 
South Dakota,2015,"$8,832 ","$1,367 ","$1,563 ",$508 ,$0 ,$5 ,$0 ,$49 
Tennessee,2015,"$8,506 ",$861 ,"$1,315 ",$486 ,$46 ,$212 ,$13 ,$54 
Texas,2015,"$8,591 ","$1,740 ","$1,499 ",$589 ,$0 ,$0 ,$0 ,$83 
Utah,2015,"$9,329 ",$966 ,$871 ,$462 ,"$1,053 ",$123 ,$0 ,$99 
Vermont,2015,"$11,976 ","$2,503 ",$595 ,"$1,052 ","$1,115 ",$177 ,$16 ,$226 
Virginia,2015,"$9,371 ","$1,514 ",$613 ,$497 ,"$1,419 ",$97 ,$0 ,$84 
Washington,2015,"$11,493 ","$1,406 ","$2,196 ",$716 ,$0 ,$0 ,$21 ,$189 
West Virginia,2015,"$9,415 ",$875 ,$709 ,$763 ,"$1,047 ",$102 ,$0 ,$115 
Wisconsin,2015,"$10,175 ","$1,602 ",$911 ,$492 ,"$1,220 ",$178 ,$0 ,$190 
Wyoming,2015,"$19,262 ","$2,306 ","$1,695 ",$381 ,$0 ,$0 ,$0 ,$168 
Alabama,2016,"$9,462 ",$546 ,$981 ,$594 ,$759 ,$96 ,$0 ,$57 
Alaska,2016,"$15,465 ","$2,042 ",$316 ,$504 ,$0 ,$91 ,$0 ,$234 
Arizona,2016,"$8,683 ","$1,078 ","$1,451 ",$343 ,$584 ,$84 ,$0 ,$71 
Arkansas,2016,"$8,952 ",$706 ,"$1,488 ",$499 ,$933 ,$151 ,$0 ,$105 
California,2016,"$13,053 ","$1,562 ","$1,335 ",$463 ,"$2,059 ",$252 ,$0 ,$159 
Colorado,2016,"$9,966 ","$1,430 ","$1,234 ",$462 ,"$1,173 ",$113 ,$0 ,$120 
Connecticut,2016,"$11,864 ","$2,911 ","$1,040 ",$767 ,"$2,095 ",$212 ,$54 ,$226 
DC,2016,"$21,709 ","$3,590 ","$1,993 ",$654 ,"$2,831 ",$826 ,$80 ,$234 
Delaware,2016,"$10,792 ",$860 ,$0 ,$583 ,"$1,228 ",$340 ,$10 ,$136 
Florida,2016,"$8,022 ","$1,271 ","$1,200 ",$617 ,$0 ,$111 ,$0 ,$51 
Georgia,2016,"$7,591 ","$1,163 ",$881 ,$405 ,"$1,012 ",$95 ,$0 ,$75 
Hawaii,2016,"$11,980 ","$1,118 ","$2,361 ",$910 ,"$1,452 ",$74 ,$34 ,$132 
Idaho,2016,"$7,776 ",$945 ,$921 ,$357 ,$897 ,$111 ,$0 ,$87 
Illinois,2016,"$9,915 ","$2,128 ","$1,082 ",$782 ,$977 ,$212 ,$25 ,$175 
Indiana,2016,"$9,072 ",$947 ,"$1,097 ",$541 ,$982 ,$155 ,$0 ,$135 
Iowa,2016,"$11,669 ","$1,573 ","$1,105 ",$539 ,"$1,161 ",$120 ,$28 ,$131 
Kansas,2016,"$9,622 ","$1,499 ","$1,479 ",$464 ,$763 ,$134 ,$0 ,$116 
Kentucky,2016,"$9,043 ",$776 ,$777 ,$633 ,"$1,266 ",$176 ,$12 ,$121 
Louisiana,2016,"$9,108 ",$887 ,"$1,594 ",$534 ,$612 ,$37 ,$0 ,$47 
Maine,2016,"$9,378 ","$2,092 ","$1,014 ",$541 ,"$1,158 ",$103 ,$20 ,$106 
Maryland,2016,"$10,723 ","$1,533 ",$741 ,$885 ,"$2,255 ",$186 ,$62 ,$106 
Massachusetts,2016,"$12,393 ","$2,329 ",$882 ,$441 ,"$2,089 ",$338 ,$58 ,$207 
Michigan,2016,"$9,869 ","$1,401 ",$925 ,$434 ,$968 ,$105 ,$0 ,$135 
Minnesota,2016,"$11,492 ","$1,559 ","$1,037 ",$853 ,"$1,932 ",$273 ,$33 ,$151 
Mississippi,2016,"$9,871 ",$988 ,"$1,105 ",$534 ,$603 ,$155 ,$0 ,$50 
Missouri,2016,"$8,639 ",$976 ,"$1,007 ",$395 ,"$1,053 ",$66 ,$0 ,$97 
Montana,2016,"$9,208 ","$1,512 ",$0 ,$547 ,"$1,129 ",$114 ,$0 ,$110 
Nebraska,2016,"$11,807 ","$1,896 ","$1,131 ",$350 ,"$1,168 ",$160 ,$29 ,$53 
Nevada,2016,"$9,052 ","$1,006 ","$1,703 ","$1,005 ",$0 ,$0 ,$0 ,$193 
New Hampshire,2016,"$9,402 ","$3,100 ",$0 ,$712 ,$70 ,$425 ,$0 ,$59 
New Jersey,2016,"$11,382 ","$3,053 ","$1,016 ",$450 ,"$1,464 ",$244 ,$84 ,$299 
New Mexico,2016,"$11,164 ",$732 ,"$1,418 ",$460 ,$497 ,$43 ,$0 ,$166 
New York,2016,"$16,213 ","$2,737 ","$1,477 ",$675 ,"$2,891 ",$527 ,$68 ,$166 
North Carolina,2016,"$9,189 ",$983 ,$990 ,$440 ,"$1,195 ",$106 ,$0 ,$147 
North Dakota,2016,"$13,013 ","$1,281 ","$1,677 ",$660 ,$459 ,$135 ,$0 ,$158 
Ohio,2016,"$10,001 ","$1,253 ","$1,251 ",$531 ,"$1,146 ",$21 ,$4 ,$94 
Oklahoma,2016,"$8,362 ",$698 ,"$1,151 ",$373 ,$849 ,$84 ,$0 ,$56 
Oregon,2016,"$11,711 ","$1,447 ",$0 ,$482 ,"$1,860 ",$175 ,$31 ,$239 
Pennsylvania,2016,"$10,428 ","$1,462 ",$862 ,$736 ,"$1,309 ",$226 ,$72 ,$242 
Rhode Island,2016,"$11,362 ","$2,360 ",$900 ,$666 ,"$1,142 ",$133 ,$70 ,$257 
South Carolina,2016,"$9,510 ","$1,175 ",$752 ,$336 ,$788 ,$83 ,$0 ,$84 
South Dakota,2016,"$8,535 ","$1,387 ","$1,678 ",$574 ,$0 ,$39 ,$0 ,$45 
Tennessee,2016,"$8,483 ",$831 ,"$1,361 ",$495 ,$49 ,$231 ,$9 ,$49 
Texas,2016,"$8,896 ","$1,812 ","$1,430 ",$591 ,$0 ,$0 ,$0 ,$78 
Utah,2016,"$9,072 ","$1,010 ",$924 ,$503 ,"$1,102 ",$109 ,$0 ,$78 
Vermont,2016,"$12,272 ","$2,540 ",$604 ,"$1,053 ","$1,147 ",$204 ,$20 ,$226 
Virginia,2016,"$9,364 ","$1,540 ",$626 ,$524 ,"$1,449 ",$89 ,$0 ,$71 
Washington,2016,"$11,657 ","$1,434 ","$2,344 ",$766 ,$0 ,$0 ,$19 ,$174 
West Virginia,2016,"$9,251 ",$912 ,$714 ,$799 ,"$1,007 ",$63 ,$0 ,$107 
Wisconsin,2016,"$9,289 ","$1,617 ",$940 ,$484 ,"$1,288 ",$170 ,$0 ,$164 
Wyoming,2016,"$16,783 ","$2,373 ","$1,304 ",$373 ,$0 ,$0 ,$0 ,$112 
Alabama,2017,"$10,108 ",$573 ,"$1,021 ",$605 ,$757 ,$105 ,$0 ,$44 
Alaska,2017,"$19,325 ","$2,114 ",$315 ,$516 ,$0 ,$118 ,$0 ,$210 
Arizona,2017,"$9,766 ","$1,110 ","$1,506 ",$332 ,$601 ,$55 ,$0 ,$72 
Arkansas,2017,"$10,533 ",$739 ,"$1,528 ",$515 ,$925 ,$133 ,$0 ,$83 
California,2017,"$15,721 ","$1,607 ","$1,344 ",$479 ,"$2,136 ",$257 ,$0 ,$154 
Colorado,2017,"$11,023 ","$1,545 ","$1,331 ",$486 ,"$1,213 ",$94 ,$0 ,$121 
Connecticut,2017,"$13,784 ","$2,988 ","$1,174 ",$764 ,"$2,206 ",$249 ,$61 ,$221 
DC,2017,"$22,450 ","$3,731 ","$2,084 ",$656 ,"$2,876 ",$814 ,$61 ,$246 
Delaware,2017,"$12,201 ",$919 ,$0 ,$596 ,"$1,228 ",$263 ,$2 ,$117 
Florida,2017,"$9,216 ","$1,328 ","$1,330 ",$604 ,$0 ,$114 ,$0 ,$38 
Georgia,2017,"$8,807 ","$1,165 ",$891 ,$424 ,"$1,053 ",$93 ,$0 ,$69 
Hawaii,2017,"$14,009 ","$1,207 ","$2,374 ",$910 ,"$1,437 ",$127 ,$13 ,$111 
Idaho,2017,"$9,021 ","$1,008 ",$956 ,$362 ,$957 ,$125 ,$0 ,$89 
Illinois,2017,"$11,495 ","$2,214 ","$1,115 ",$805 ,"$1,026 ",$223 ,$22 ,$166 
Indiana,2017,"$9,564 ",$993 ,"$1,130 ",$550 ,$982 ,$153 ,$0 ,$86 
Iowa,2017,"$12,195 ","$1,623 ","$1,122 ",$530 ,"$1,188 ",$137 ,$27 ,$155 
Kansas,2017,"$10,879 ","$1,523 ","$1,477 ",$468 ,$796 ,$132 ,$0 ,$88 
Kentucky,2017,"$10,119 ",$826 ,$780 ,$644 ,"$1,306 ",$143 ,$10 ,$116 
Louisiana,2017,"$11,086 ",$894 ,"$1,826 ",$623 ,$631 ,$62 ,$0 ,$46 
Maine,2017,"$10,858 ","$2,106 ","$1,072 ",$543 ,"$1,141 ",$130 ,$9 ,$90 
Maryland,2017,"$11,873 ","$1,578 ",$754 ,$883 ,"$2,356 ",$164 ,$37 ,$95 
Massachusetts,2017,"$13,728 ","$2,402 ",$897 ,$429 ,"$2,116 ",$316 ,$48 ,$212 
Michigan,2017,"$10,891 ","$1,402 ",$994 ,$457 ,$990 ,$119 ,$0 ,$129 
Minnesota,2017,"$13,150 ","$1,588 ","$1,089 ",$881 ,"$1,955 ",$219 ,$23 ,$106 
Mississippi,2017,"$10,984 ","$1,014 ","$1,168 ",$529 ,$603 ,$137 ,$1 ,$42 
Missouri,2017,"$10,019 ","$1,031 ","$1,054 ",$397 ,"$1,073 ",$63 ,$0 ,$81 
Montana,2017,"$10,934 ","$1,579 ",$0 ,$599 ,"$1,116 ",$118 ,$0 ,$92 
Nebraska,2017,"$12,708 ","$1,914 ","$1,155 ",$339 ,"$1,152 ",$137 ,$29 ,$45 
Nevada,2017,"$10,626 ","$1,017 ","$1,856 ","$1,064 ",$0 ,$0 ,$0 ,$202 
New Hampshire,2017,"$10,362 ","$3,281 ",$0 ,$708 ,$48 ,$422 ,$0 ,$52 
New Jersey,2017,"$12,763 ","$3,197 ","$1,045 ",$518 ,"$1,521 ",$230 ,$82 ,$260 
New Mexico,2017,"$12,240 ",$789 ,"$1,598 ",$431 ,$497 ,$43 ,$0 ,$120 
New York,2017,"$18,839 ","$2,816 ","$1,505 ",$680 ,"$2,792 ",$524 ,$59 ,$147 
North Carolina,2017,"$10,191 ",$989 ,"$1,040 ",$440 ,"$1,188 ",$74 ,$0 ,$102 
North Dakota,2017,"$13,798 ","$1,475 ","$1,454 ",$659 ,$417 ,$79 ,$0 ,$217 
Ohio,2017,"$11,850 ","$1,307 ","$1,278 ",$552 ,"$1,193 ",$19 ,$3 ,$104 
Oklahoma,2017,"$9,483 ",$735 ,"$1,163 ",$370 ,$759 ,$40 ,$0 ,$59 
Oregon,2017,"$14,008 ","$1,487 ",$0 ,$511 ,"$2,020 ",$173 ,$48 ,$233 
Pennsylvania,2017,"$11,581 ","$1,506 ",$883 ,$785 ,"$1,324 ",$220 ,$72 ,$241 
Rhode Island,2017,"$12,289 ","$2,394 ",$918 ,$669 ,"$1,142 ",$120 ,$65 ,$236 
South Carolina,2017,"$10,571 ","$1,190 ",$785 ,$340 ,$834 ,$69 ,$0 ,$76 
South Dakota,2017,"$10,407 ","$1,555 ","$1,648 ",$556 ,$0 ,$35 ,$0 ,$46 
Tennessee,2017,"$10,707 ",$813 ,"$1,344 ",$499 ,$37 ,$256 ,$2 ,$44 
Texas,2017,"$9,763 ","$1,882 ","$1,433 ",$597 ,$0 ,$0 ,$0 ,$91 
Utah,2017,"$10,188 ","$1,019 ","$1,081 ",$448 ,"$1,214 ",$104 ,$0 ,$64 
Vermont,2017,"$12,765 ","$2,522 ",$610 ,"$1,086 ","$1,164 ",$174 ,$26 ,$226 
Virginia,2017,"$10,487 ","$1,646 ",$629 ,$533 ,"$1,535 ",$97 ,$1 ,$61 
Washington,2017,"$13,486 ","$1,493 ","$2,472 ",$829 ,$0 ,$0 ,$23 ,$155 
West Virginia,2017,"$10,706 ",$941 ,$761 ,$780 ,$995 ,$64 ,$0 ,$107 
Wisconsin,2017,"$10,967 ","$1,638 ",$961 ,$491 ,"$1,335 ",$164 ,$0 ,$133 
Wyoming,2017,"$17,914 ","$2,174 ","$1,177 ",$368 ,$0 ,$0 ,$0 ,$110 
Alabama,2018,"$10,337 ",$572 ,"$1,049 ",$643 ,$812 ,$116 ,$0 ,$46 
Alaska,2018,"$18,679 ","$2,187 ",$338 ,$518 ,$0 ,$266 ,$0 ,$190 
Arizona,2018,"$9,974 ","$1,130 ","$1,592 ",$337 ,$652 ,$54 ,$0 ,$74 
Arkansas,2018,"$10,442 ",$813 ,"$1,587 ",$520 ,$956 ,$130 ,$0 ,$69 
California,2018,"$16,695 ","$1,705 ","$1,421 ",$606 ,"$2,407 ",$316 ,$0 ,$152 
Colorado,2018,"$12,416 ","$1,561 ","$1,393 ",$521 ,"$1,323 ",$138 ,$0 ,$108 
Connecticut,2018,"$13,728 ","$3,051 ","$1,210 ",$882 ,"$2,693 ",$213 ,$52 ,$209 
DC,2018,"$23,264 ","$3,827 ","$2,178 ",$647 ,"$3,015 ",$838 ,$52 ,$235 
Delaware,2018,"$12,973 ",$925 ,$0 ,$621 ,"$1,702 ",$269 ,$5 ,$104 
Florida,2018,"$9,492 ","$1,363 ","$1,526 ",$607 ,$0 ,$115 ,$0 ,$27 
Georgia,2018,"$9,058 ","$1,203 ",$926 ,$436 ,"$1,106 ",$95 ,$0 ,$61 
Hawaii,2018,"$13,893 ","$1,321 ","$2,585 ",$965 ,"$1,664 ",$101 ,$20 ,$120 
Idaho,2018,"$9,068 ","$1,012 ","$1,018 ",$363 ,"$1,038 ",$136 ,$0 ,$89 
Illinois,2018,"$12,346 ","$2,263 ","$1,118 ",$832 ,"$1,341 ",$258 ,$30 ,$155 
Indiana,2018,"$10,332 ",$975 ,"$1,159 ",$679 ,"$1,416 ",$104 ,$0 ,$78 
Iowa,2018,"$12,247 ","$1,669 ","$1,141 ",$530 ,"$1,262 ",$140 ,$26 ,$142 
Kansas,2018,"$11,234 ","$1,598 ","$1,526 ",$502 ,"$1,165 ",$149 ,$0 ,$96 
Kentucky,2018,"$10,170 ",$832 ,$802 ,$649 ,"$1,328 ",$208 ,$11 ,$95 
Louisiana,2018,"$11,043 ",$856 ,"$1,858 ",$630 ,$695 ,$77 ,$0 ,$46 
Maine,2018,"$11,061 ","$2,238 ","$1,132 ",$539 ,"$1,189 ",$138 ,$10 ,$85 
Maryland,2018,"$12,098 ","$1,690 ",$768 ,$921 ,"$2,430 ",$168 ,$45 ,$86 
Massachusetts,2018,"$14,341 ","$2,496 ",$928 ,$425 ,"$2,328 ",$344 ,$68 ,$230 
Michigan,2018,"$11,109 ","$1,453 ",$953 ,$504 ,"$1,064 ",$96 ,$0 ,$126 
Minnesota,2018,"$14,107 ","$1,675 ","$1,077 ",$890 ,"$2,103 ",$240 ,$38 ,$136 
Mississippi,2018,"$10,743 ","$1,053 ","$1,196 ",$533 ,$623 ,$147 ,$0 ,$37 
Missouri,2018,"$10,137 ","$1,052 ","$1,119 ",$408 ,"$1,130 ",$67 ,$0 ,$66 
Montana,2018,"$12,955 ","$1,655 ",$0 ,$624 ,"$1,223 ",$165 ,$0 ,$103 
Nebraska,2018,"$12,993 ","$2,029 ","$1,194 ",$350 ,"$1,213 ",$161 ,$27 ,$41 
Nevada,2018,"$10,699 ","$1,049 ","$1,951 ","$1,098 ",$0 ,$0 ,$0 ,$219 
New Hampshire,2018,"$10,651 ","$3,332 ",$0 ,$756 ,$77 ,$579 ,$0 ,$53 
New Jersey,2018,"$13,055 ","$3,315 ","$1,135 ",$555 ,"$1,631 ",$243 ,$66 ,$247 
New Mexico,2018,"$12,377 ",$824 ,"$1,544 ",$433 ,$509 ,$53 ,$0 ,$73 
New York,2018,"$19,352 ","$2,907 ","$1,575 ",$700 ,"$3,229 ",$487 ,$65 ,$129 
North Carolina,2018,"$10,153 ","$1,018 ","$1,076 ",$460 ,"$1,227 ",$72 ,$1 ,$65 
North Dakota,2018,"$15,199 ","$1,389 ","$1,494 ",$665 ,$477 ,$139 ,$0 ,$221 
Ohio,2018,"$12,309 ","$1,358 ","$1,246 ",$550 ,"$1,233 ",$23 ,$1 ,$102 
Oklahoma,2018,"$9,639 ",$764 ,"$1,300 ",$380 ,$830 ,$60 ,$0 ,$63 
Oregon,2018,"$14,306 ","$1,574 ",$0 ,$537 ,"$2,123 ",$215 ,$42 ,$238 
Pennsylvania,2018,"$12,252 ","$1,550 ",$914 ,$818 ,"$1,399 ",$227 ,$76 ,$231 
