state,year,total_revenue,prop_tax,gen_sales_tax,select_sales_tax,income_tax,net_corp_income_tax,gift_death_tax,unemployment_tax
Rhode Island,2018,"$12,268 ","$2,389 ",$961 ,$610 ,"$1,217 ",$108 ,$94 ,$210 
South Carolina,2018,"$10,640 ","$1,241 ",$812 ,$399 ,$883 ,$80 ,$0 ,$71 
South Dakota,2018,"$10,062 ","$1,559 ","$1,698 ",$586 ,$0 ,$37 ,$0 ,$38 
Tennessee,2018,"$10,149 ",$802 ,"$1,562 ",$518 ,$36 ,$242 ,$0 ,$40 
Texas,2018,"$10,255 ","$2,002 ","$1,553 ",$624 ,$0 ,$0 ,$0 ,$92 
Utah,2018,"$11,397 ","$1,043 ","$1,188 ",$485 ,"$1,466 ",$145 ,$0 ,$57 
Vermont,2018,"$12,998 ","$2,583 ",$643 ,"$1,174 ","$1,279 ",$173 ,$36 ,$211 
Virginia,2018,"$10,332 ","$1,725 ",$642 ,$611 ,"$1,650 ",$136 ,$0 ,$53 
Washington,2018,"$14,234 ","$1,618 ","$2,657 ",$852 ,$0 ,$0 ,$28 ,$148 
West Virginia,2018,"$10,487 ",$950 ,$759 ,$828 ,"$1,077 ",$61 ,$0 ,$114 
Wisconsin,2018,"$12,493 ","$1,628 ","$1,002 ",$501 ,"$1,406 ",$157 ,$0 ,$111 
Wyoming,2018,"$18,765 ","$1,968 ","$1,375 ",$359 ,$0 ,$0 ,$0 ,$124 
Alabama,2019,"$10,697 ",$601 ,"$1,151 ",$633 ,$866 ,$137 ,$0 ,$44 
Alaska,2019,"$18,933 ","$2,212 ",$378 ,$598 ,$0 ,$453 ,$0 ,$181 
Arizona,2019,"$10,166 ","$1,181 ","$1,695 ",$344 ,$758 ,$74 ,$0 ,$63 
Arkansas,2019,"$10,220 ",$784 ,"$1,629 ",$524 ,"$1,003 ",$178 ,$0 ,$60 
California,2019,"$16,722 ","$1,863 ","$1,460 ",$634 ,"$2,531 ",$349 ,$0 ,$150 
Colorado,2019,"$11,097 ","$1,805 ","$1,433 ",$539 ,"$1,425 ",$139 ,$0 ,$100 
Connecticut,2019,"$14,240 ","$3,179 ","$1,272 ",$887 ,"$2,341 ",$573 ,$58 ,$204 
DC,2019,"$23,689 ","$4,075 ","$2,316 ",$627 ,"$3,345 ",$935 ,$32 ,$234 
Delaware,2019,"$12,742 ",$950 ,$0 ,$635 ,"$1,775 ",$302 ,$2 ,$92 
Florida,2019,"$9,385 ","$1,447 ","$1,457 ",$594 ,$0 ,$146 ,$0 ,$22 
Georgia,2019,"$9,104 ","$1,282 ",$973 ,$446 ,"$1,144 ",$119 ,$0 ,$56 
Hawaii,2019,"$14,068 ","$1,414 ","$2,806 ","$1,018 ","$1,763 ",$131 ,$13 ,$127 
Idaho,2019,"$9,111 ","$1,083 ","$1,062 ",$371 ,$923 ,$158 ,$0 ,$70 
Illinois,2019,"$11,522 ","$2,290 ","$1,166 ",$868 ,"$1,460 ",$297 ,$32 ,$140 
Indiana,2019,"$10,595 ","$1,102 ","$1,196 ",$702 ,"$1,501 ",$111 ,$0 ,$70 
Iowa,2019,"$12,680 ","$1,752 ","$1,174 ",$544 ,"$1,321 ",$168 ,$24 ,$131 
Kansas,2019,"$11,357 ","$1,645 ","$1,500 ",$477 ,"$1,288 ",$166 ,$0 ,$97 
Kentucky,2019,"$10,308 ",$885 ,$886 ,$693 ,"$1,379 ",$212 ,$10 ,$84 
Louisiana,2019,"$10,767 ",$913 ,"$1,777 ",$663 ,$822 ,$106 ,$0 ,$46 
Maine,2019,"$11,503 ","$2,588 ","$1,188 ",$532 ,"$1,259 ",$186 ,$12 ,$88 
Maryland,2019,"$12,233 ","$1,680 ",$793 ,$942 ,"$2,582 ",$211 ,$53 ,$80 
Massachusetts,2019,"$13,956 ","$2,544 ",$974 ,$454 ,"$2,444 ",$420 ,$86 ,$257 
Michigan,2019,"$10,728 ","$1,511 ",$954 ,$496 ,"$1,069 ",$113 ,$0 ,$119 
Minnesota,2019,"$13,759 ","$1,696 ","$1,144 ",$917 ,"$2,181 ",$301 ,$39 ,$130 
Mississippi,2019,"$10,885 ","$1,116 ","$1,257 ",$545 ,$663 ,$167 ,$0 ,$34 
Missouri,2019,"$10,003 ","$1,147 ","$1,142 ",$401 ,"$1,147 ",$74 ,$0 ,$59 
Montana,2019,"$11,087 ","$1,759 ",$0 ,$633 ,"$1,314 ",$172 ,$0 ,$115 
Nebraska,2019,"$12,882 ","$1,985 ","$1,223 ",$354 ,"$1,302 ",$217 ,$32 ,$39 
Nevada,2019,"$11,077 ","$1,108 ","$2,059 ","$1,127 ",$0 ,$0 ,$0 ,$217 
New Hampshire,2019,"$10,322 ","$3,171 ",$0 ,$706 ,$89 ,$606 ,$0 ,$43 
New Jersey,2019,"$13,190 ","$3,366 ","$1,171 ",$556 ,"$1,718 ",$422 ,$53 ,$232 
New Mexico,2019,"$14,111 ",$880 ,"$2,000 ",$444 ,$754 ,$96 ,$0 ,$63 
New York,2019,"$19,012 ","$3,029 ","$1,648 ",$718 ,"$3,071 ",$524 ,$53 ,$119 
North Carolina,2019,"$10,486 ","$1,056 ","$1,127 ",$471 ,"$1,279 ",$81 ,$0 ,$49 
North Dakota,2019,"$15,841 ","$1,447 ","$1,694 ",$701 ,$535 ,$189 ,$0 ,$151 
Ohio,2019,"$11,093 ","$1,383 ","$1,267 ",$590 ,"$1,277 ",$23 ,$0 ,$94 
Oklahoma,2019,"$10,015 ",$829 ,"$1,376 ",$441 ,$904 ,$77 ,$0 ,$65 
Oregon,2019,"$14,847 ","$1,670 ",$0 ,$600 ,"$2,336 ",$239 ,$49 ,$219 
Pennsylvania,2019,"$12,112 ","$1,603 ",$982 ,$842 ,"$1,482 ",$271 ,$78 ,$228 
Rhode Island,2019,"$12,340 ","$2,422 ","$1,023 ",$721 ,"$1,258 ",$161 ,$40 ,$204 
South Carolina,2019,"$10,722 ","$1,267 ",$908 ,$429 ,$937 ,$78 ,$0 ,$61 
South Dakota,2019,"$9,577 ","$1,605 ","$1,717 ",$592 ,$0 ,$52 ,$0 ,$35 
Tennessee,2019,"$10,094 ",$828 ,"$1,668 ",$524 ,$29 ,$247 ,$0 ,$40 
Texas,2019,"$10,162 ","$2,136 ","$1,623 ",$642 ,$0 ,$0 ,$0 ,$84 
Utah,2019,"$10,695 ","$1,137 ","$1,231 ",$520 ,"$1,540 ",$162 ,$0 ,$50 
Vermont,2019,"$13,332 ","$2,760 ",$666 ,"$1,192 ","$1,341 ",$233 ,$20 ,$183 
Virginia,2019,"$11,366 ","$1,764 ",$800 ,$652 ,"$1,735 ",$145 ,$0 ,$46 
Washington,2019,"$14,008 ","$1,653 ","$2,840 ",$868 ,$0 ,$0 ,$39 ,$144 
West Virginia,2019,"$10,617 ",$957 ,$796 ,$839 ,"$1,165 ",$110 ,$0 ,$121 
Wisconsin,2019,"$9,493 ","$1,669 ","$1,047 ",$501 ,"$1,490 ",$222 ,$0 ,$100 
Wyoming,2019,"$16,505 ","$2,084 ","$1,523 ",$378 ,$0 ,$0 ,$0 ,$128 
Alabama,2020,"$11,087 ",$632 ,"$1,221 ",$680 ,$877 ,$150 ,$0 ,$40 
Alaska,2020,"$19,295 ","$2,279 ",$351 ,$567 ,$0 ,$266 ,$0 ,$177 
Arizona,2020,"$10,283 ","$1,192 ","$1,726 ",$334 ,$630 ,$74 ,$0 ,$55 
Arkansas,2020,"$11,415 ",$790 ,"$1,685 ",$557 ,$967 ,$156 ,$0 ,$48 
California,2020,"$16,547 ","$1,956 ","$1,495 ",$663 ,"$2,137 ",$249 ,$0 ,$152 
Colorado,2020,"$13,737 ","$1,929 ","$1,510 ",$534 ,"$1,303 ",$120 ,$0 ,$98 
Connecticut,2020,"$14,528 ","$3,274 ","$1,281 ",$807 ,"$2,286 ",$576 ,$41 ,$200 
DC,2020,"$25,980 ","$4,363 ","$1,840 ",$562 ,"$3,544 ","$1,085 ",$56 ,"$1,702 "
Delaware,2020,"$14,904 ","$1,050 ",$0 ,$610 ,"$1,700 ",$254 ,$0 ,$92 
Florida,2020,"$9,669 ","$1,540 ","$1,426 ",$581 ,$0 ,$115 ,$0 ,$19 
Georgia,2020,"$9,559 ","$1,335 ",$981 ,$454 ,"$1,091 ",$92 ,$0 ,$50 
Hawaii,2020,"$14,776 ","$1,557 ","$2,812 ","$1,006 ","$1,626 ",$30 ,$31 ,$136 
Idaho,2020,"$9,815 ","$1,124 ","$1,142 ",$366 ,"$1,035 ",$133 ,$0 ,$69 
Illinois,2020,"$12,891 ","$2,345 ","$1,124 ",$981 ,"$1,404 ",$273 ,$24 ,$126 
Indiana,2020,"$11,050 ","$1,136 ","$1,213 ",$664 ,"$1,422 ",$111 ,$0 ,$82 
Iowa,2020,"$13,398 ","$1,810 ","$1,244 ",$531 ,"$1,277 ",$194 ,$24 ,$133 
Kansas,2020,"$11,701 ","$1,715 ","$1,507 ",$473 ,"$1,151 ",$148 ,$0 ,$92 
Kentucky,2020,"$11,078 ",$906 ,$930 ,$699 ,"$1,427 ",$178 ,$11 ,$79 
Louisiana,2020,"$11,343 ",$906 ,"$1,736 ",$627 ,$842 ,$97 ,$0 ,$40 
Maine,2020,"$12,530 ","$2,731 ","$1,221 ",$544 ,"$1,351 ",$158 ,$15 ,$89 
Maryland,2020,"$12,596 ","$1,744 ",$800 ,$853 ,"$2,759 ",$215 ,$56 ,$74 
Massachusetts,2020,"$15,085 ","$2,647 ",$974 ,$446 ,"$2,489 ",$362 ,$100 ,$255 
Michigan,2020,"$11,240 ","$1,595 ",$916 ,$427 ,$953 ,$81 ,$0 ,$115 
Minnesota,2020,"$13,844 ","$1,775 ","$1,189 ",$906 ,"$1,913 ",$281 ,$26 ,$134 
Mississippi,2020,"$11,140 ","$1,162 ","$1,287 ",$532 ,$629 ,$142 ,$0 ,$31 
Missouri,2020,"$10,087 ","$1,109 ","$1,177 ",$369 ,"$1,028 ",$74 ,$0 ,$56 
Montana,2020,"$11,084 ","$1,802 ",$0 ,$640 ,"$1,231 ",$171 ,$0 ,$105 
Nebraska,2020,"$13,818 ","$2,085 ","$1,331 ",$370 ,"$1,246 ",$199 ,$26 ,$37 
Nevada,2020,"$10,934 ","$1,135 ","$2,021 ","$1,002 ",$0 ,$0 ,$0 ,$219 
New Hampshire,2020,"$10,959 ","$3,266 ",$0 ,$674 ,$89 ,$566 ,$0 ,$34 
New Jersey,2020,"$13,021 ","$3,435 ","$1,194 ",$578 ,"$1,662 ",$385 ,$47 ,$234 
New Mexico,2020,"$13,470 ",$899 ,"$2,145 ",$445 ,$580 ,$45 ,$0 ,$59 
New York,2020,"$18,780 ","$3,176 ","$1,686 ",$739 ,"$3,381 ",$563 ,$53 ,$119 
North Carolina,2020,"$10,589 ","$1,097 ","$1,142 ",$460 ,"$1,196 ",$63 ,$0 ,$50 
North Dakota,2020,"$16,923 ","$1,526 ","$1,729 ",$685 ,$483 ,$105 ,$0 ,$257 
Ohio,2020,"$13,175 ","$1,439 ","$1,292 ",$661 ,"$1,211 ",$23 ,$0 ,$91 
Oklahoma,2020,"$10,401 ",$888 ,"$1,344 ",$456 ,$849 ,$76 ,$0 ,$56 
Oregon,2020,"$14,470 ","$1,729 ",$0 ,$627 ,"$2,034 ",$235 ,$27 ,$220 
Pennsylvania,2020,"$13,010 ","$1,638 ",$971 ,$801 ,"$1,408 ",$239 ,$81 ,$197 
Rhode Island,2020,"$13,305 ","$2,448 ","$1,056 ",$703 ,"$1,133 ",$195 ,$51 ,$189 
South Carolina,2020,"$10,889 ","$1,310 ",$929 ,$433 ,$993 ,$98 ,$0 ,$53 
South Dakota,2020,"$11,047 ","$1,610 ","$1,787 ",$594 ,$0 ,$42 ,$0 ,$87 
Tennessee,2020,"$9,748 ",$845 ,"$1,707 ",$599 ,$8 ,$217 ,$0 ,$37 
Texas,2020,"$11,380 ","$2,210 ","$1,622 ",$603 ,$0 ,$0 ,$0 ,$74 
Utah,2020,"$12,196 ","$1,213 ","$1,330 ",$517 ,"$1,137 ",$110 ,$0 ,$50 
Vermont,2020,"$15,207 ","$2,856 ",$696 ,"$1,157 ","$1,186 ",$220 ,$24 ,$165 
Virginia,2020,"$11,667 ","$1,833 ",$828 ,$681 ,"$1,736 ",$158 ,$0 ,$41 
Washington,2020,"$14,330 ","$1,726 ","$2,896 ",$888 ,$0 ,$0 ,$82 ,$143 
West Virginia,2020,"$11,215 ",$999 ,$812 ,$846 ,"$1,087 ",$85 ,$0 ,$103 
Wisconsin,2020,"$14,380 ","$1,716 ","$1,070 ",$504 ,"$1,441 ",$269 ,$0 ,$100 
Wyoming,2020,"$21,667 ","$2,169 ","$1,490 ",$379 ,$0 ,$0 ,$0 ,$118 
Alabama,2021,"$12,588 ",$659 ,"$1,362 ",$713 ,$997 ,$225 ,$0 ,$123 
Alaska,2021,"$26,227 ","$2,323 ",$360 ,$550 ,$0 ,$170 ,$0 ,$190 
Arizona,2021,"$13,255 ","$1,253 ","$1,839 ",$337 ,$898 ,$126 ,$0 ,$75 
Arkansas,2021,"$16,250 ",$835 ,"$1,877 ",$597 ,"$1,145 ",$204 ,$0 ,$21 
California,2021,"$25,237 ","$2,104 ","$1,525 ",$629 ,"$3,738 ",$667 ,$0 ,$144 
Colorado,2021,"$16,183 ","$2,081 ","$1,545 ",$583 ,"$1,763 ",$220 ,$0 ,$111 
Connecticut,2021,"$20,370 ","$3,294 ","$1,458 ",$804 ,"$2,847 ",$723 ,$79 ,$193 
DC,2021,"$29,874 ","$4,496 ","$1,843 ",$536 ,"$3,951 ","$1,290 ",$47 ,"$2,105 "
Delaware,2021,"$20,143 ","$1,105 ",$0 ,$603 ,"$2,138 ",$340 ,$0 ,$350 
Florida,2021,"$12,528 ","$1,612 ","$1,555 ",$582 ,$0 ,$156 ,$0 ,$50 
Georgia,2021,"$14,079 ","$1,397 ","$1,117 ",$445 ,"$1,318 ",$162 ,$0 ,$47 
Hawaii,2021,"$20,781 ","$1,604 ","$2,509 ",$731 ,"$2,319 ",$132 ,$22 ,$148 
Idaho,2021,"$13,032 ","$1,113 ","$1,330 ",$380 ,"$1,291 ",$185 ,$0 ,$181 
Illinois,2021,"$16,470 ","$2,463 ","$1,234 ","$1,068 ","$1,723 ",$451 ,$38 ,$118 
Indiana,2021,"$13,139 ","$1,238 ","$1,362 ",$697 ,"$1,729 ",$203 ,$0 ,$72 
Iowa,2021,"$18,393 ","$1,937 ","$1,398 ",$562 ,"$1,367 ",$248 ,$31 ,$128 
Kansas,2021,"$14,491 ","$1,782 ","$1,627 ",$480 ,"$1,572 ",$248 ,$0 ,$102 
Kentucky,2021,"$14,103 ",$967 ,"$1,011 ",$730 ,"$1,528 ",$256 ,$14 ,$126 
Louisiana,2021,"$15,399 ","$1,012 ","$1,947 ",$661 ,$850 ,$127 ,$0 ,$41 
Maine,2021,"$15,671 ","$2,781 ","$1,385 ",$528 ,"$1,505 ",$206 ,$29 ,$99 
Maryland,2021,"$16,428 ","$1,818 ",$884 ,$937 ,"$2,790 ",$298 ,$73 ,$113 
Massachusetts,2021,"$19,063 ","$2,799 ","$1,113 ",$419 ,"$2,815 ",$525 ,$113 ,$318 
Michigan,2021,"$14,059 ","$1,662 ","$1,115 ",$496 ,"$1,260 ",$149 ,$0 ,$111 
Minnesota,2021,"$21,197 ","$1,868 ","$1,240 ",$827 ,"$2,653 ",$424 ,$36 ,$128 
Mississippi,2021,"$14,774 ","$1,208 ","$1,434 ",$524 ,$853 ,$187 ,$0 ,$167 
Missouri,2021,"$13,934 ","$1,333 ","$1,246 ",$389 ,"$1,329 ",$126 ,$0 ,$104 
Montana,2021,"$15,711 ","$1,848 ",$0 ,$716 ,"$1,708 ",$243 ,$0 ,$103 
Nebraska,2021,"$16,841 ","$2,170 ","$1,463 ",$381 ,"$1,594 ",$291 ,$28 ,$46 
Nevada,2021,"$15,017 ","$1,214 ","$2,261 ",$968 ,$0 ,$0 ,$0 ,$179 
New Hampshire,2021,"$13,151 ","$3,306 ",$0 ,$710 ,$107 ,$728 ,$0 ,$97 
New Jersey,2021,"$16,390 ","$3,525 ","$1,381 ",$557 ,"$1,816 ",$643 ,$57 ,$223 
New Mexico,2021,"$19,388 ",$935 ,"$2,085 ",$449 ,$566 ,$72 ,$0 ,$74 
New York,2021,"$27,935 ","$3,342 ","$1,640 ",$684 ,"$3,557 ",$612 ,$77 ,$146 
North Carolina,2021,"$13,809 ","$1,123 ","$1,292 ",$507 ,"$1,505 ",$143 ,$0 ,$34 
North Dakota,2021,"$19,172 ","$1,532 ","$1,532 ",$693 ,$577 ,$200 ,$0 ,$431 
Ohio,2021,"$15,841 ","$1,520 ","$1,432 ",$681 ,"$1,411 ",$24 ,$0 ,$95 
Oklahoma,2021,"$13,362 ",$917 ,"$1,426 ",$503 ,$944 ,$151 ,$0 ,$108 
Oregon,2021,"$20,774 ","$1,812 ",$0 ,$732 ,"$2,645 ",$320 ,$96 ,$235 
Pennsylvania,2021,"$16,157 ","$1,674 ","$1,126 ",$857 ,"$1,689 ",$356 ,$100 ,$190 
Rhode Island,2021,"$23,464 ","$2,462 ","$1,217 ",$750 ,"$1,602 ",$235 ,$35 ,$206 
South Carolina,2021,"$13,352 ","$1,380 ","$1,048 ",$472 ,"$1,051 ",$143 ,$0 ,$48 
South Dakota,2021,"$17,173 ","$1,660 ","$1,893 ",$623 ,$0 ,$60 ,$0 ,$91 
Tennessee,2021,"$12,776 ",$927 ,"$1,886 ",$597 ,$26 ,$368 ,$0 ,$40 
Texas,2021,"$13,852 ","$2,231 ","$1,677 ",$631 ,$0 ,$0 ,$0 ,$66 
Utah,2021,"$14,132 ","$1,237 ","$1,498 ",$533 ,"$1,998 ",$223 ,$0 ,$53 
Vermont,2021,"$33,786 ","$2,991 ",$807 ,"$1,158 ","$1,906 ",$258 ,$42 ,$139 
Virginia,2021,"$15,735 ","$1,920 ",$934 ,$784 ,"$1,971 ",$182 ,$0 ,$49 
Washington,2021,"$19,166 ","$1,901 ","$3,156 ",$877 ,$0 ,$0 ,$42 ,$188 
West Virginia,2021,"$15,117 ","$1,077 ",$908 ,$851 ,"$1,262 ",$180 ,$0 ,$102 
Wisconsin,2021,"$14,572 ","$1,783 ","$1,166 ",$492 ,"$1,537 ",$428 ,$0 ,$96 
Wyoming,2021,"$20,793 ","$2,169 ","$1,428 ",$394 ,$0 ,$0 ,$0 ,$237 
Alabama,2022,"$12,767 ",$697 ,"$1,465 ",$739 ,"$1,227 ",$288 ,$0 ,$70 
Alaska,2022,"$21,366 ","$2,389 ",$392 ,$621 ,$0 ,$563 ,$0 ,$245 
Arizona,2022,"$12,093 ","$1,259 ","$2,218 ",$349 ,"$1,022 ",$160 ,$0 ,$64 
Arkansas,2022,"$12,149 ",$860 ,"$2,056 ",$622 ,"$1,220 ",$271 ,$0 ,$36 
California,2022,"$18,937 ","$2,137 ","$1,889 ",$690 ,"$3,745 ","$1,178 ",$0 ,$169 
Colorado,2022,"$14,229 ","$2,123 ","$1,857 ",$712 ,"$2,001 ",$258 ,$0 ,$132 
Connecticut,2022,"$14,909 ","$3,364 ","$1,439 ",$869 ,"$2,733 ","$1,010 ",$61 ,$190 
DC,2022,"$29,892 ","$4,334 ","$2,547 ",$616 ,"$4,646 ","$1,477 ",$72 ,$240 
Delaware,2022,"$15,272 ","$1,156 ",$0 ,$655 ,"$2,359 ",$498 ,$0 ,$182 
Florida,2022,"$10,920 ","$1,675 ","$1,914 ",$604 ,$0 ,$170 ,$0 ,$48 
Georgia,2022,"$10,265 ","$1,462 ","$1,281 ",$438 ,"$1,676 ",$230 ,$0 ,$56 
Hawaii,2022,"$17,216 ","$1,607 ","$3,291 ","$1,193 ","$2,612 ",$219 ,$40 ,$169 
Idaho,2022,"$10,621 ","$1,076 ","$1,508 ",$388 ,"$1,338 ",$537 ,$0 ,$74 
Illinois,2022,"$14,513 ","$2,611 ","$1,442 ","$1,150 ","$1,804 ",$765 ,$51 ,$146 
Indiana,2022,"$12,491 ","$1,259 ","$1,521 ",$691 ,"$1,896 ",$225 ,$0 ,$65 
Iowa,2022,"$14,380 ","$1,999 ","$1,507 ",$587 ,"$1,587 ",$269 ,$29 ,$142 
Kansas,2022,"$13,430 ","$1,802 ","$1,858 ",$508 ,"$1,647 ",$296 ,$0 ,$113 
Kentucky,2022,"$12,836 ","$1,021 ","$1,144 ",$764 ,"$1,775 ",$321 ,$18 ,$246 
Louisiana,2022,"$13,016 ","$1,039 ","$2,254 ",$714 ,$976 ,$227 ,$0 ,$47 
Maine,2022,"$13,184 ","$2,557 ","$1,563 ",$582 ,"$1,865 ",$299 ,$25 ,$113 
Maryland,2022,"$14,538 ","$1,873 ","$1,077 ","$1,022 ","$3,189 ",$347 ,$85 ,$332 
Massachusetts,2022,"$16,545 ","$2,998 ","$1,248 ",$510 ,"$3,494 ",$659 ,$124 ,$182 
Michigan,2022,"$12,163 ","$1,704 ","$1,216 ",$514 ,"$1,353 ",$179 ,$0 ,$124 
Minnesota,2022,"$14,932 ","$1,916 ","$1,346 ",$881 ,"$2,648 ",$828 ,$37 ,$616 
Mississippi,2022,"$12,182 ","$1,228 ","$1,623 ",$558 ,$864 ,$242 ,$0 ,$33 
Missouri,2022,"$11,051 ","$1,362 ","$1,317 ",$415 ,"$1,526 ",$139 ,$0 ,$56 
Montana,2022,"$12,223 ","$1,922 ",$0 ,$798 ,"$2,126 ",$259 ,$0 ,$128 
Nebraska,2022,"$15,501 ","$2,271 ","$1,594 ",$378 ,"$1,646 ",$363 ,$32 ,$40 
Nevada,2022,"$11,859 ","$1,345 ","$2,727 ","$1,314 ",$0 ,$0 ,$0 ,$221 
New Hampshire,2022,"$11,347 ","$3,642 ",$0 ,$690 ,$110 ,$867 ,$0 ,$108 
New Jersey,2022,"$15,164 ","$3,631 ","$1,531 ",$612 ,"$2,228 ",$935 ,$65 ,$276 
New Mexico,2022,"$19,983 ","$1,106 ","$2,485 ",$486 ,"$1,028 ",$232 ,$0 ,$61 
New York,2022,"$22,470 ","$3,319 ","$1,943 ",$788 ,"$4,468 ","$1,622 ",$70 ,$162 
North Carolina,2022,"$12,081 ","$1,169 ","$1,452 ",$550 ,"$1,652 ",$153 ,$0 ,$58 
North Dakota,2022,"$18,731 ","$1,621 ","$1,770 ",$706 ,$607 ,$294 ,$0 ,$97 
Ohio,2022,"$12,608 ","$1,616 ","$1,588 ",$749 ,"$1,513 ",$34 ,$2 ,$98 
Oklahoma,2022,"$12,010 ",$940 ,"$1,601 ",$496 ,"$1,034 ",$202 ,$0 ,$92 
Oregon,2022,"$16,109 ","$1,890 ",$287 ,$819 ,"$2,812 ",$407 ,$83 ,$284 
Pennsylvania,2022,"$13,227 ","$1,719 ","$1,216 ",$885 ,"$1,794 ",$444 ,$116 ,$177 
Rhode Island,2022,"$14,713 ","$2,534 ","$1,371 ",$821 ,"$1,773 ",$264 ,$36 ,$224 
South Carolina,2022,"$12,945 ","$1,433 ","$1,200 ",$508 ,"$1,298 ",$228 ,$0 ,$55 
South Dakota,2022,"$11,594 ","$1,683 ","$2,174 ",$650 ,$0 ,$68 ,$0 ,$45 
Tennessee,2022,"$10,878 ",$971 ,"$2,158 ",$648 ,$1 ,$426 ,$0 ,$37 
Texas,2022,"$11,535 ","$2,234 ","$1,972 ",$687 ,$0 ,$0 ,$0 ,$105 
Utah,2022,"$13,761 ","$1,347 ","$1,827 ",$560 ,"$2,015 ",$277 ,$0 ,$75 
Vermont,2022,"$17,359 ","$3,184 ",$872 ,"$1,324 ","$1,960 ",$372 ,$22 ,$96 
Virginia,2022,"$12,886 ","$2,017 ","$1,015 ",$873 ,"$2,274 ",$228 ,$0 ,$48 
Washington,2022,"$15,417 ","$1,995 ","$3,581 ",$938 ,$0 ,$0 ,$48 ,$284 
West Virginia,2022,"$12,638 ","$1,106 ",$992 ,$927 ,"$1,411 ",$206 ,$0 ,$200 
Wisconsin,2022,"$11,737 ","$1,832 ","$1,281 ",$513 ,"$1,527 ",$497 ,$0 ,$66 
Wyoming,2022,"$19,552 ","$2,149 ","$1,857 ",$423 ,$0 ,$0 ,$0 ,$258 
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"	",,,,,,,,,
